Index	First	Quality_1	Second	Quality_2	Type	Longitude	Latitude	ElevAngle
94	2023-07-26 10:46:48	9	2023-07-26 20:35:48	9	Midnight	126.314	24.468	-6.00
95	2023-07-26 20:35:48	9	2023-07-27 10:54:48	9	Midday	125.313	26.557	-6.00
96	2023-07-27 10:54:48	9	2023-07-27 20:27:48	9	Midnight	126.312	28.563	-6.00
97	2023-07-27 20:27:48	9	2023-07-28 10:38:48	9	Midday	128.311	24.864	-6.00
98	2023-07-28 10:38:48	9	2023-07-28 20:41:48	9	Midnight	126.558	21.311	-6.00
99	2023-07-28 20:41:48	9	2023-07-29 10:51:48	9	Midday	124.930	24.890	-6.00
100	2023-07-29 10:51:48	9	2023-07-29 20:42:48	9	Midnight	124.801	24.767	-6.00
101	2023-07-29 20:42:48	9	2023-07-30 10:51:48	9	Midday	124.797	24.919	-6.00
102	2023-07-30 10:51:48	9	2023-07-30 20:47:48	9	Midnight	124.167	23.739	-6.00
103	2023-07-30 20:47:48	9	2023-07-31 10:46:48	9	Midday	124.786	22.536	-6.00
104	2023-07-31 10:46:48	9	2023-07-31 20:45:48	9	Midnight	125.030	23.213	-6.00
105	2023-07-31 20:45:48	9	2023-08-01 10:48:48	9	Midday	124.773	23.921	-6.00
106	2023-08-01 10:48:48	9	2023-08-01 20:42:48	9	Midnight	125.141	24.864	-6.00
107	2023-08-01 20:42:48	9	2023-08-02 10:49:48	9	Midday	125.008	25.305	-6.00
108	2023-08-02 10:49:48	9	2023-08-02 20:36:48	9	Midnight	125.749	27.021	-6.00
109	2023-08-02 20:36:48	9	2023-08-03 10:39:48	9	Midday	126.990	24.541	-6.00
110	2023-08-03 10:39:48	9	2023-08-03 20:47:48	9	Midnight	125.604	21.534	-6.00
111	2023-08-03 20:47:48	9	2023-08-04 10:30:48	9	Midday	126.719	18.962	-6.00
112	2023-08-04 10:30:48	9	2023-08-04 20:40:48	9	Midnight	127.583	21.237	-6.00
113	2023-08-04 20:40:48	9	2023-08-05 10:40:48	9	Midday	126.321	24.363	-6.00
114	2023-08-05 10:40:48	9	2023-08-05 20:42:48	9	Midnight	126.058	23.929	-6.00
115	2023-08-05 20:42:48	9	2023-08-06 10:37:48	9	Midday	126.420	23.250	-6.00
116	2023-08-06 10:37:48	9	2023-08-06 20:38:48	9	Midnight	126.906	24.564	-6.00
117	2023-08-06 20:38:48	9	2023-08-07 10:42:48	9	Midday	126.267	26.209	-6.00
118	2023-08-07 10:42:48	9	2023-08-07 20:41:48	9	Midnight	125.877	25.505	-6.00
119	2023-08-07 20:41:48	9	2023-08-08 10:38:48	9	Midday	126.361	24.554	-6.00
120	2023-08-08 10:38:48	9	2023-08-08 20:55:48	9	Midnight	124.595	20.310	-6.00
121	2023-08-08 20:55:48	9	2023-08-09 10:16:48	9	Midday	127.328	12.726	-6.00
122	2023-08-09 10:16:48	9	2023-08-09 20:52:48	9	Midnight	127.686	13.930	-6.00
123	2023-08-09 20:52:48	9	2023-08-10 10:38:48	9	Midday	124.917	21.862	-6.00
124	2023-08-10 10:38:48	9	2023-08-10 20:45:48	9	Midnight	125.774	24.243	-6.00
125	2023-08-10 20:45:48	9	2023-08-11 10:34:48	9	Midday	126.254	23.214	-6.00
126	2023-08-11 10:34:48	9	2023-08-11 20:51:48	9	Midnight	125.485	21.365	-6.00
127	2023-08-11 20:51:48	9	2023-08-12 10:29:48	9	Midday	126.089	19.874	-6.00
128	2023-08-12 10:29:48	9	2023-08-12 20:54:48	9	Midnight	125.693	18.919	-6.00
129	2023-08-12 20:54:48	9	2023-08-13 10:33:48	9	Midday	125.171	20.602	-6.00
130	2023-08-13 10:33:48	9	2023-08-13 20:51:48	9	Midnight	125.524	21.791	-6.00
131	2023-08-13 20:51:48	9	2023-08-14 10:26:48	9	Midday	126.377	19.534	-6.00
132	2023-08-14 10:26:48	9	2023-08-14 20:51:48	9	Midnight	126.353	19.655	-6.00
133	2023-08-14 20:51:48	9	2023-08-15 10:28:48	9	Midday	126.079	20.666	-6.00
134	2023-08-15 10:28:48	9	2023-08-15 20:56:48	9	Midnight	125.430	18.903	-6.00
135	2023-08-15 20:56:48	9	2023-08-16 10:25:48	9	Midday	125.780	17.998	-6.00
136	2023-08-16 10:25:48	9	2023-08-16 20:53:48	9	Midnight	126.130	19.295	-6.00
137	2023-08-16 20:53:48	9	2023-08-17 10:25:48	9	Midday	126.103	19.581	-6.00
138	2023-08-17 10:25:48	9	2023-08-17 20:58:48	9	Midnight	125.452	17.683	-6.00
139	2023-08-17 20:58:48	9	2023-08-18 10:21:48	9	Midday	125.925	16.284	-6.00
140	2023-08-18 10:21:48	9	2023-08-18 20:55:48	9	Midnight	126.272	17.659	-6.00
141	2023-08-18 20:55:48	9	2023-08-19 12:35:48	9	Midday	109.491	51.699	-6.00
142	2023-08-19 12:35:48	9	2023-08-19 20:35:48	9	Midnight	111.963	54.464	-6.00
143	2023-08-19 20:35:48	9	2023-08-20 16:11:48	9	Midday	84.929	68.097	-6.00
144	2023-08-20 16:11:48	9	2023-08-20 20:33:48	9	Midnight	85.150	68.339	-6.00
145	2023-08-21 20:58:48	9	2023-08-22 10:19:48	9	Midday	125.940	17.013	-6.00
146	2023-08-22 10:19:48	9	2023-08-22 20:54:48	9	Midnight	126.408	18.963	-6.00
147	2023-08-22 20:54:48	9	2023-08-23 10:19:48	9	Midday	126.376	19.320	-6.00
148	2023-08-23 10:19:48	9	2023-08-23 20:49:48	9	Midnight	126.969	21.699	-6.00
149	2023-08-23 20:49:48	9	2023-08-24 10:18:48	9	Midday	127.061	21.641	-6.00
150	2023-08-24 10:18:48	9	2023-08-24 21:01:48	9	Midnight	125.527	16.052	-6.00
151	2023-08-24 21:01:48	9	2023-08-25 10:39:48	9	Midday	122.868	26.096	-6.00
152	2023-08-25 10:39:48	9	2023-08-25 21:04:48	9	Midnight	122.458	25.024	-6.00
153	2023-08-25 21:04:48	9	2023-08-26 10:36:48	9	Midday	122.799	24.140	-6.00
154	2023-08-26 10:36:48	9	2023-08-26 21:07:48	9	Midnight	122.388	22.952	-6.00
155	2023-08-26 21:07:48	9	2023-08-27 10:39:48	9	Midday	121.978	24.768	-6.00
156	2023-08-27 10:39:48	9	2023-08-27 21:12:48	9	Midnight	121.317	22.618	-6.00
157	2023-08-27 21:12:48	9	2023-08-28 10:35:48	9	Midday	121.781	21.091	-6.00
158	2023-08-28 10:35:48	9	2023-08-28 21:21:48	9	Midnight	120.619	16.385	-6.00
159	2023-08-28 21:21:48	9	2023-08-29 10:36:48	9	Midday	120.457	17.391	-6.00
160	2023-08-29 10:36:48	9	2023-08-29 21:27:48	9	Midnight	119.669	13.930	-6.00
161	2023-08-29 21:27:48	9	2023-08-30 10:30:48	9	Midday	120.381	10.498	-6.00
162	2023-08-30 10:30:48	9	2023-08-30 21:27:48	9	Midnight	120.343	10.494	-6.00
163	2023-08-30 21:27:48	9	2023-08-31 10:26:48	9	Midday	120.805	8.099	-6.00
164	2023-08-31 10:26:48	9	2023-08-31 21:30:48	9	Midnight	120.391	5.800	-6.00
165	2023-08-31 21:30:48	9	2023-09-01 11:02:48	9	Midday	115.851	28.389	-6.00
166	2023-09-01 11:02:48	9	2023-09-01 21:35:48	9	Midnight	115.186	26.138	-6.00
167	2023-09-01 21:35:48	9	2023-09-02 10:24:48	9	Midday	119.898	0.609	-6.00
168	2023-09-02 10:24:48	9	2023-09-02 21:37:48	9	Midnight	119.608	-1.463	-6.00
169	2023-09-02 21:37:48	9	2023-09-03 10:26:48	9	Midday	119.317	0.680	-6.00
170	2023-09-03 10:26:48	9	2023-09-03 21:36:48	9	Midnight	119.402	1.346	-6.00
171	2023-09-03 21:36:48	9	2023-09-04 10:19:48	9	Midday	120.236	-5.257	-6.00
172	2023-09-04 10:19:48	9	2023-09-04 21:40:48	9	Midnight	119.695	-10.175	-6.00
173	2023-09-04 21:40:48	9	2023-09-05 10:22:48	9	Midday	119.278	-6.635	-6.00
174	2023-09-05 10:22:48	9	2023-09-05 21:34:48	9	Midnight	119.987	-0.519	-6.00
175	2023-09-05 21:34:48	9	2023-09-06 10:24:48	9	Midday	119.695	1.984	-6.00
176	2023-09-06 10:24:48	9	2023-09-06 21:33:48	9	Midnight	119.778	2.769	-6.00
177	2023-09-06 21:33:48	9	2023-09-07 10:26:48	9	Midday	119.485	5.363	-6.00
178	2023-09-07 10:26:48	9	2023-09-07 21:22:48	9	Midnight	120.818	15.759	-6.00
179	2023-09-07 21:22:48	9	2023-09-08 10:24:48	9	Midday	121.025	14.680	-6.00
180	2023-09-08 10:24:48	9	2023-09-08 21:22:48	9	Midnight	120.983	14.749	-6.00
181	2023-09-08 21:22:48	9	2023-09-09 10:16:48	9	Midday	121.940	7.249	-6.00
182	2023-09-09 10:16:48	9	2023-09-09 21:30:48	9	Midnight	120.896	-3.311	-6.00
183	2023-09-09 21:30:48	9	2023-09-10 10:17:48	9	Midday	120.728	-1.431	-6.00
184	2023-09-10 10:17:48	9	2023-09-10 21:29:48	9	Midnight	120.809	-0.495	-6.00
185	2023-09-10 21:29:48	9	2023-09-11 10:23:48	9	Midday	120.015	8.321	-6.00
186	2023-09-11 10:23:48	9	2023-09-11 21:27:48	9	Midnight	120.222	10.700	-6.00
187	2023-09-11 21:27:48	9	2023-09-12 10:11:48	9	Midday	121.678	-7.130	-6.00
188	2023-09-12 10:11:48	9	2023-09-12 21:29:48	9	Midnight	121.384	-12.842	-6.00
189	2023-09-12 21:29:48	9	2023-09-13 10:18:48	9	Midday	120.464	1.908	-6.00
190	2023-09-13 10:18:48	9	2023-09-13 21:25:48	9	Midnight	120.920	8.069	-6.00
191	2023-09-13 21:25:48	9	2023-09-14 10:14:48	9	Midday	121.376	2.145	-6.00
192	2023-09-14 10:14:48	9	2023-09-14 21:28:48	9	Midnight	120.956	-5.209	-6.00
193	2023-09-14 21:28:48	9	2023-09-15 10:09:48	9	Midday	121.537	-22.717	-6.00
194	2023-09-15 10:09:48	9	2023-09-15 21:26:48	9	Midnight	121.743	-18.111	-6.00
195	2023-09-15 21:26:48	9	2023-09-16 10:13:48	9	Midday	121.198	-2.337	-6.00
196	2023-09-16 10:13:48	9	2023-09-16 21:34:48	9	Midnight	120.153	nan	-6.00
197	2023-09-16 21:34:48	9	2023-09-17 10:15:48	9	Midday	119.858	nan	-6.00
198	2023-09-17 10:15:48	9	2023-09-17 21:29:48	9	Midnight	120.439	-9.186	-6.00
199	2023-09-17 21:29:48	9	2023-09-18 10:13:48	9	Midday	120.644	nan	-6.00
200	2023-09-18 10:13:48	9	2023-09-18 21:29:48	9	Midnight	120.600	nan	-6.00
201	2023-09-18 21:29:48	9	2023-09-19 10:12:48	9	Midday	120.680	nan	-6.00
202	2023-09-19 10:12:48	9	2023-09-19 21:28:48	9	Midnight	120.761	nan	-6.00
203	2023-09-19 21:28:48	9	2023-09-20 10:13:48	9	Midday	120.591	nan	-6.00
204	2023-09-20 10:13:48	9	2023-09-20 21:28:48	9	Midnight	120.547	nan	-6.00
205	2023-09-20 21:28:48	9	2023-09-21 10:12:48	9	Midday	120.627	nan	-6.00
