Index	First	Quality_1	Second	Quality_2	Type	Longitude	Latitude	ElevAngle
141	2023-08-18 20:46:10	9	2023-08-19 10:32:11	9	Midday	126.150	25.788	-6.00
142	2023-08-19 10:32:11	9	2023-08-19 20:48:11	9	Midnight	125.869	25.229	-6.00
143	2023-08-19 20:48:11	9	2023-08-20 10:30:11	9	Midday	126.090	24.831	-6.00
144	2023-08-20 10:30:11	9	2023-08-20 20:47:11	9	Midnight	126.186	25.379	-6.00
145	2023-08-20 20:47:11	9	2023-08-21 10:57:11	9	Midday	122.780	34.721	-6.00
146	2023-08-21 10:57:11	9	2023-08-21 20:46:11	9	Midnight	122.874	35.248	-6.00
147	2023-08-21 20:46:11	9	2023-08-22 11:20:11	9	Midday	119.968	41.647	-6.00
148	2023-08-22 11:20:11	9	2023-08-22 20:52:11	9	Midnight	119.186	40.461	-6.00
149	2023-08-22 20:52:11	9	2023-08-23 10:26:12	9	Midday	125.903	23.268	-6.00
150	2023-08-23 10:26:12	9	2023-08-23 21:08:12	9	Midnight	123.868	16.111	-6.00
151	2023-08-23 21:08:12	9	2023-08-24 10:26:12	9	Midday	123.835	16.464	-6.00
152	2023-08-24 10:26:12	9	2023-08-24 20:52:12	9	Midnight	125.802	23.994	-6.00
153	2023-08-24 20:52:12	9	2023-08-25 10:24:12	9	Midday	126.018	23.535	-6.00
154	2023-08-25 10:24:12	9	2023-08-25 20:52:12	9	Midnight	125.984	23.709	-6.00
155	2023-08-25 20:52:12	9	2023-08-26 10:20:12	9	Midday	126.449	22.314	-6.00
156	2023-08-26 10:20:12	9	2023-08-26 20:51:13	9	Midnight	126.537	22.938	-6.00
157	2023-08-26 20:51:13	9	2023-08-27 10:21:13	9	Midday	126.375	23.848	-6.00
158	2023-08-27 10:21:13	9	2023-08-27 20:51:13	9	Midnight	126.339	24.032	-6.00
159	2023-08-27 20:51:13	9	2023-08-28 10:12:13	9	Midday	127.428	20.056	-6.00
160	2023-08-28 10:12:13	9	2023-08-28 20:56:13	9	Midnight	126.766	17.500	-6.00
161	2023-08-28 20:56:13	9	2023-08-29 10:21:13	9	Midday	125.604	22.725	-6.00
162	2023-08-29 10:21:13	9	2023-08-29 21:13:13	9	Midnight	123.441	13.305	-6.00
163	2023-08-29 21:13:13	9	2023-08-30 10:22:13	9	Midday	123.278	14.359	-6.00
164	2023-08-30 10:22:13	9	2023-08-30 20:58:14	9	Midnight	125.113	23.058	-6.00
165	2023-08-30 20:58:14	9	2023-08-31 10:24:14	9	Midday	124.822	24.620	-6.00
166	2023-08-31 10:24:14	9	2023-08-31 20:54:14	9	Midnight	125.284	26.848	-6.00
167	2023-08-31 20:54:14	9	2023-09-01 10:32:14	9	Midday	124.244	31.135	-6.00
168	2023-09-01 10:32:14	9	2023-09-01 21:19:14	9	Midnight	121.079	18.109	-6.00
169	2023-09-01 21:19:14	9	2023-09-02 10:33:14	9	Midday	120.915	19.270	-6.00
170	2023-09-02 10:33:14	9	2023-09-02 21:29:14	9	Midnight	119.624	12.583	-6.00
171	2023-09-02 21:29:14	9	2023-09-03 10:18:14	9	Midday	121.459	0.680	-6.00
172	2023-09-03 10:18:14	9	2023-09-03 21:29:15	9	Midnight	121.417	0.395	-6.00
173	2023-09-03 21:29:15	9	2023-09-04 10:27:15	9	Midday	120.248	8.853	-6.00
174	2023-09-04 10:27:15	9	2023-09-04 21:30:15	9	Midnight	120.082	7.922	-6.00
175	2023-09-04 21:30:15	9	2023-09-05 10:29:15	9	Midday	119.791	10.167	-6.00
176	2023-09-05 10:29:15	9	2023-09-05 21:26:15	9	Midnight	120.249	13.526	-6.00
177	2023-09-05 21:26:15	9	2023-09-06 10:19:15	9	Midday	121.458	5.042	-6.00
178	2023-09-06 10:19:15	9	2023-09-06 21:26:15	9	Midnight	121.416	4.853	-6.00
179	2023-09-06 21:26:15	9	2023-09-07 10:18:15	9	Midday	121.498	4.309	-6.00
180	2023-09-07 10:18:15	9	2023-09-07 21:26:16	9	Midnight	121.454	4.062	-6.00
181	2023-09-07 21:26:16	9	2023-09-08 10:21:16	9	Midday	121.034	7.861	-6.00
182	2023-09-08 10:21:16	9	2023-09-08 21:27:16	9	Midnight	120.866	6.639	-6.00
183	2023-09-08 21:27:16	9	2023-09-09 10:18:16	9	Midday	121.198	3.739	-6.00
184	2023-09-09 10:18:16	9	2023-09-09 21:32:16	9	Midnight	120.529	-3.311	-6.00
185	2023-09-09 21:32:16	9	2023-09-10 10:13:16	9	Midday	121.111	-10.993	-6.00
186	2023-09-10 10:13:16	9	2023-09-10 21:31:16	9	Midnight	121.193	-10.317	-6.00
187	2023-09-10 21:31:16	9	2023-09-11 10:25:16	9	Midday	119.649	8.321	-6.00
188	2023-09-11 10:25:16	9	2023-09-11 21:24:17	9	Midnight	120.478	16.367	-6.00
189	2023-09-11 21:24:17	9	2023-09-12 10:20:17	9	Midday	121.057	11.521	-6.00
